"cjis_code","statue_code","code_type","literal","toc","summary_code","hierarchy"
48006,"132",PC,"OFFER FALSE EVIDENCE",F,25,35100
48007,"133",PC,"DECEIVE WITNESS",M,60,125500
48008,"134",PC,"PREPARE FALSE EVIDENCE",F,9,26800
48009,"135",PC,"DESTROY/CONCEAL EVIDENCE",M,60,150200
48125,"135.5",PC,"ALTER/ETC EVIDENCE:HARM PUBLIC SA",M,60,150200
48010,"136",PC,"PREVENT/DISSUADE WITNESS/VICTIM (",M,60,125600
48033,"136",PC,"PREVENT/DISSUADE WITNESS/VICTIM (",F,25,19700
48026,"136 (A)",PC,"PREVENT/DISSUADE WITNESS/VICTIM (",M,60,125600
48027,"136 (B)",PC,"PREVENT/DISSUADE WITNESS WITH FOR",F,25,19700
51018,"136 1/2",PC,"BRIBE TO DISSUADE WITNESS (REPEALE",F,25,34500
48057,"136.1",PC,"PREVENT/DISSUADE WITNESS/VICTIM",M,60,125600
48056,"136.1",PC,"PREVENT/DISSUADE WITNESS/VICTIM",F,25,19700
48060,"136.1 (A)",PC,"PREVENT/DISSUADE WITNESS/VICTIM (A",M,60,125600
48116,"136.1 (A)(1)",PC,"PREVENT/DISSUADE VICTIM/WITNESS",F,25,46300
48093,"136.1 (A)(1)",PC,"PREVENT/DISSUADE WITNESS/VICTIM",M,60,97410
48094,"136.1 (A)(2)",PC,"ATTEMPT TO PREVENT/DISSUADE WITN",M,60,97410
48117,"136.1 (A)(2)",PC,"ATTEMPT TO PREVENT/DISSUADE VICTI",F,25,46300
48059,"136.1 (B)",PC,"PREVENT/DISSUADE WITNESS/VICTIM",M,60,125600
48064,"136.1 (B)(1)",PC,"PREVENT/DISSUADE WITNESS/VICTIM F",M,60,97410
48118,"136.1 (B)(1)",PC,"ATTEMPT TO PREVENT/DISSUADE VICTI",F,25,46300
48119,"136.1 (B)(2)",PC,"ATTEMPT TO PREVENT/DISSUADE VICTI",F,25,46300
48065,"136.1 (B)(2)",PC,"PREVENT/DISSUADE WITNESS/VICTIM F",M,60,97410
48066,"136.1 (B)(3)",PC,"PREVENT/DISSUADE WITNESS/VICTIM F",M,60,97410
48120,"136.1 (B)(3)",PC,"ATTEMPT PREVENT/DISSUADE VICTIM/W",F,25,46300
48061,"136.1 (C)",PC,"PREVENT/DISSUADE WITNESS/VICTIM W",F,25,19700
48058,"136.1 (C)(1)",PC,"PREVENT/DISSUADE WITNESS VICTIM B",F,25,19700
48067,"136.1 (C)(2)",PC,"PREVENT/DISSUADE WITNESS/VICTIM:C",F,25,19700
48068,"136.1 (C)(3)",PC,"PREVENT/DISSUADE WITNESS/VICTIM:P",F,25,19700
48069,"136.1 (C)(4)",PC,"PREVENT/DISSUADE WITNESS/VICTIM F",F,25,19700
48137,"136.2 (A)(7)(B)2",PC,"POSSESS/OWN/RECEIVE FIREARM WHIL",M,50,91535
52153,"136.5",PC,"CARRY DEADLY WEAPON W/INTENT TO",F,25,69200
48045,"136.7",PC,"SEX OFFENDER GIVE OTHER PRISONER W",F,25,69400
51035,"137",PC,"BRIBE TO INFLUENCE TESTIMONY",M,60,123900
51019,"137",PC,"BRIBE TO INFLUENCE TESTIMONY",F,25,34600
51032,"137 (A)",PC,"INFLUENCE TESTIMONY BY BRIBE",F,25,34600
51033,"137 (B)",PC,"INDUCE FALSE TESTIMONY BY FORCE/TH",F,25,19500
51034,"137 (C)",PC,"INDUCE FALSE TESTIMONY",M,60,123900
51020,"138",PC,"WITNESS RECEIVE/ETC BRIBE (AMENDED",F,25,34700
51040,"138 (A)",PC,"BRIBE WITNESS TO DISSUADE FROM ATT",F,25,34700
51039,"138 (B)",PC,"WITNESS RECEIVE/ETC BRIBE",F,25,34700
48082,"139 (A)",PC,"FELON THREATEN TO USE FORCE/ETC O",F,6,22510
48088,"140",PC,"THREATEN TO USE FORCE/ETC ON WITN",F,6,22512
48078,"140",PC,"THREATEN WITNESS/ETC OF CRIME (AM",M,30,103400
48080,"140 (A)",PC,"THREATEN WITNESS/VICTIM OF CRIME",M,30,103400
48126,"140 (A)",PC,"USE/THREATEN FORCE/ETC ON WITNES",F,6,22512
48127,"140 (A)",PC,"USE/THREATEN FORCE/ETC ON WITNES",M,30,103400
48084,"140 (B)",PC,"THREATEN WITNESS/VICTIM OF CRIME",F,6,40400
48133,"141 (A)",PC,"ALTER/ETC PHYSICAL MATTER WITH INT",M,60,150200
48134,"141 (B)",PC,"PO ALTER/ETC PHYSICAL MATTER WITH",F,25,14790
48011,"142",PC,"PEACE OFFICER REFUSE TO ARREST",F,25,72400
48070,"142 (A)",PC,"PEACE OFFICER REFUSE TO ARREST",F,25,72400
56004,"145",PC,"DELAY TAKING BEFORE JUDGE",M,60,150400
56005,"146",PC,"MAKE ARREST W/O AUTHORITY (AMEN",M,60,142100
44045,"146 (A)",PC,"MAKE ARREST/ETC WITHOUT AUTHORIT",M,60,142100
44004,"146 A",PC,"IMPERSONATE PUBLIC OFFICER/ETC (AM",M,60,142300
44047,"146 A(A)",PC,"IMPERSONATE STATE DEPUTY/ETC",M,60,142300
44046,"146 A(B)",PC,"IMPERSONATE PUBLIC OFFICER/ETC:AR",F,25,72912
44044,"146 A(B)",PC,"IMPERSONATE PUBLIC OFFICER/ETC:AR",M,60,142300
44072,"146 A(B)(2)",PC,"IMPERSONATE PUBLIC OFFICER/ETC TO",M,60,91650
44005,"146 B",PC,"REQUEST/ETC INFORMATION IN GUISE O",M,60,142400
26006,"146 C",PC,"ILLEGAL USE PEACE OFFICER/ETC NAME",M,60,142500
50011,"146 D",PC,"SELL/ETC BADGE/ETC FOR FAVORED TRE",M,60,142600
48090,"146 E",PC,"DISCLOSE P. O./ETC FAMILY ADDRESS/P",M,60,142700
48012,"146 E",PC,"DISCLOSE PEACE OFFICER/FAMILY ADDR",M,60,142700
48043,"146 E(A)",PC,"DISCLOSE/ETC PEACE OFFICER/ETC ADD",M,60,142700
48044,"146 E(B)",PC,"DISCLOSE/ETC PO/ETC ADDRESS/ETC:RE",F,6,23820
48141,"146 G(A)(1)",PC,"PEACE OFFICER/ETC DISCLOSE INFORMA",M,60,168200
48142,"146 G(A)(2)",PC,"PEACE OFFICER/ETC SOLICITS FOR FINAN",M,60,168200
48143,"146 G(C)(1)",PC,"PEACE OFFICER SOLICIT FOR FINANCIAL",M,60,168200
56006,"147",PC,"INHUMANITY TO PRISONERS",M,30,173800
48013,"148",PC,"OBSTRUCTS/RESISTS PUBLIC OFFICER (A",M,30,89500
48086,"148 (A)",PC,"OBSTRUCTS/RESISTS PUBLIC OFFICER/ET",M,30,89500
48122,"148 (A)(1)",PC,"OBSTRUCT/RESIST/ETC PUBLIC/PEACE O",M,30,89500
48132,"148 (A)(2)",PC,"OBSTRUCT/DISRUPTS/ETC PUBLIC SAFET",M,60,97700
48087,"148 (B)",PC,"REMOVE/ETC WEAPON FROM PEACE O",F,6,41100
48123,"148 (B)",PC,"REMOVE/ETC POLICE OFFICER/ETC WEA",M,30,89500
48091,"148 (C)",PC,"REMOVE/ETC PEACE OFFICER/ETC FIREA",F,6,23700
48085,"148 (D)",PC,"ATTEMPT TO REMOVE/ETC FIREARM FR",F,6,41100
48124,"148 (D)",PC,"ATTEMPT TO REMOVE/ETC FIREARM FR",M,30,89500
48092,"148 (D)(1)",PC,"ATT REMOVE FIREARM FROM PEACE OF",F,6,41100
53004,"148.1",PC,"FALSE BOMB REPORT",F,6,42100
53129,"148.1 (A)",PC,"FALSE BOMB/ETC REPORT TO POLICE/M",M,30,90900
53081,"148.1 (A)",PC,"FALSE BOMB/ETC REPORT TO PEACE OF",F,6,42100
53102,"148.1 (B)",PC,"FALSE BOMB/ETC REPORT TO ON DUTY",F,6,42100
53082,"148.1 (B)",PC,"FALSE BOMB REPORT TO ANY PERSON (",F,6,42100
53103,"148.1 (C)",PC,"FALSE BOMB/ETC REPORT TO ANY PERS",F,6,42100
52093,"148.1 (C)",PC,"GIVE/PLACE/ETC FALSE BOMB (AMENDE",F,6,42100
52164,"148.1 (D)",PC,"GIVE/PLACE/ETC FALSE BOMB",F,6,42100
48138,"148.10 (A)",PC,"RESIST PEACE OFFICER RESULTS IN DEAT",M,30,89500
48089,"148.10 (A)",PC,"RESIST PEACE OFFICER RESULTING IN DE",F,6,22505
48014,"148.2",PC,"INTERFERE WITH FIREMAN",M,30,102100
48028,"148.2.1",PC,"INTERFERE WITH/ETC FIREMAN/RESCUE",M,30,102100
48029,"148.2.2",PC,"DISOBEY ORDER OF FIREMAN/PUBLIC O",M,30,102100
48030,"148.2.3",PC,"DELAY/PREVENT EXTINGUISHING FIRE",M,30,102100
48031,"148.2.4",PC,"PREVENT ASSISTANCE TO EXTINGUISH F",M,30,102100
53065,"148.3",PC,"FALSE REPORT OF EMERGENCY",F,6,38600
53005,"148.3",PC,"FALSE REPORT OF EMERGENCY",M,30,91100
53059,"148.3 (A)",PC,"FALSE REPORT OF EMERGENCY",M,30,91100
53060,"148.3 (B)",PC,"FALSE REPORT OF EMERGENCY RESULTI",F,6,38600
53066,"148.4",PC,"FALSE FIRE ALARM",F,6,39500
53006,"148.4",PC,"FALSE FIRE ALARM",M,30,90900
53061,"148.4 (1)",PC,"FALSE TAMPER WITH FIRE ALARM (AME",M,30,90900
53062,"148.4 (2)",PC,"FALSE FIRE ALARM (AMENDED)",F,6,39500
53094,"148.4 (A)",PC,"TAMPER/ETC WITH FIRE ALARM/EQUIP",M,30,90900
53116,"148.4 (A)(1)",PC,"TAMPER/ETC WITH FIRE ALARM/ETC",M,30,90900
53086,"148.4 (A)(2)",PC,"SEND/ETC FALSE FIRE ALARM BY ANY M",M,30,90900
53095,"148.4 (B)",PC,"FALSE FIRE ALARM RESULTING IN GBI/D",F,6,39500
53119,"148.4 (B)(1)",PC,"FALSE FIRE ALARM RESULTING IN GBI",F,6,39500
53120,"148.4 (B)(2)",PC,"FALSE FIRE ALARM RESULTING IN DEATH",F,6,39500
53007,"148.5",PC,"FALSE REPORT OF CRIME (AMENDED)",M,60,150600
53104,"148.5 (A)",PC,"FALSE REPORT OF CRIME TO SPECIFIC PE",M,60,150600
53105,"148.5 (B)",PC,"FALSE REPORT OF CRIME TO SPECIFIC PE",M,60,150600
53110,"148.5 (C)",PC,"FALSE REPORT OF CRIME TO LAW ENFO",M,60,150600
53126,"148.5 (D)",PC,"FALSE REPORT OF CRIME TO GRAND JUR",M,60,150600
48098,"148.6 (A)",PC,"FALSE REPORT OF POLICE OFFICER MISC",M,60,141905
48099,"148.6 (A)(1)",PC,"FILE FALSE ALLEGATION OF PEACE OFFIC",M,60,141905
48100,"148.6 (B)",PC,"FALSE CLAIM/LEIN AGAINST PO:HARASS",M,60,141905
44006,"148.7",PC,"IMPERSONATE TO SERVE ANOTHER'S SE",M,60,146300
48062,"148.9",PC,"FALSE IDENTIFICATION TO PEACE OFFIC",M,60,141900
48077,"148.9 (A)",PC,"FALSE IDENTIFICATION TO SPECIFIC PEA",M,60,141900
48079,"148.9 (B)",PC,"FALSE IDENTIFICATION TO SPECIFIC PEA",M,60,141900
13004,"149",PC,"ASSAULT BY PUBLIC OFFICER",F,6,40000
13221,"149",PC,"ASSAULT BY PUBLIC OFFICER",M,30,90100
48015,"150",PC,"REFUSE TO AID OFFICER IN ARREST",M,60,175900
09173,"151",PC,"ADVOCATE KILLING/INJURING POLICE O",F,6,23800
09172,"151",PC,"ADVOCATE KILLING/INJURING POLICE O",M,30,102300
09132,"151 (A)",PC,"ADVOCATE KILL/INJURE PEACE OFFICER",M,30,102300
09131,"151 (A)",PC,"ADVOCATE KILL/INJURE PEACE OFFICER",F,6,23800
09134,"151 (A)(1)",PC,"ADVOCATE KILL/INJURE PEACE OFFICER",M,30,102300
09135,"151 (A)(2)",PC,"ADVOCATE KILL/INJURE PEACE OFFICER",F,6,23800
48063,"152",PC,"THREATEN WITNESS/VICTIM OF CRIME",M,30,103400
66123,"152 (A)",PC,"CONCEAL/ATTEMPT TO CONCEAL ACCID",M,60,96600
50145,"152.3 (D)",PC,"FAIL TO REPORT CRIME AGAINST CHILD",M,60,125000
48016,"153",PC,"COMPOUND/CONCEAL CRIME:TAKE MO",M,60,150100
48041,"153",PC,"COMPOUND/CONCEAL CRIME:TAKE MO",F,25,72600
48071,"153.1",PC,"COMPOUND/CONCEAL CRIME",F,25,72600
48072,"153.2",PC,"COMPOUND/CONCEAL CRIME",F,25,72600
48073,"153.3",PC,"COMPOUND/CONCEAL CRIME",M,60,150100
26007,"154",PC,"DEBTOR SELL/CONCEAL PROPERTY (AM",M,32,100300
26051,"154",PC,"DEBTOR SELL/CONCEAL PROPERTY [OVE",F,9,27000
26339,"154 (A)",PC,"DEBTOR HIDE/ETC PROPERTY W/INT TO",M,32,100300
26340,"154 (B)",PC,"DEBTOR HIDE/ETC PROPERTY W/INT TO",F,9,27000
26062,"155",PC,"CONCEAL PROPERTY FRAUDULENTLY [O",F,9,27100
26008,"155",PC,"CONCEAL PROPERTY FRAUDULENTLY UN",M,32,100200
26341,"155 (A)",PC,"DEFENDANT HIDE/ETC PROPERTY INT:D",M,32,100200
26342,"155 (B)",PC,"DEFENDANT HIDE/ETC PROPERTY:INT D",F,9,27100
26546,"155.5 (B)",PC,"SELL/ETC PROPERTY TO AVOID RESTITUT",F,9,27100
26009,"156",PC,"MISREPRESENT CHILD TO INHERIT",F,9,16900
26010,"157",PC,"SUBSTITUTE ONE CHILD FOR ANOTHER",F,7,18300
50012,"158",PC,"COMMON BARRATRY",M,32,106000
31247,"160 (A)",PC,"BAIL SERVICES:SOLICITATION OF PERSO",M,60,148860
51021,"165",PC,"BRIBE PUBLIC OFFICIAL",F,25,19100
50013,"166",PC,"CRIMINAL CONTEMPT",M,60,141000
50103,"166 (A)(1)",PC,"CONTEMPT OF COURT:DISORDERLY/ETC",M,60,141000
50187,"166 (A)(10)",PC,"CONTEMPT OF COURT VIOLATE A GANG",M,60,141000
50104,"166 (A)(2)",PC,"CONTEMPT OF COURT IN PRESENCE OF",M,60,141000
50105,"166 (A)(3)",PC,"CONTEMPT OF COURT:BREACH OF PEAC",M,60,141000
50106,"166 (A)(4)",PC,"CONTEMPT OF COURT:DISOBEY COURT",M,60,141000
50107,"166 (A)(5)",PC,"CONTEMPT OF COURT:RESIST COURT O",M,60,141000
50183,"166 (A)(6)",PC,"CONTEMPT OF COURT JUROR DISOBEY",M,60,141000
50108,"166 (A)(6)",PC,"CONTEMPT OF COURT:REFUSE TO BE SW",M,60,141000
50184,"166 (A)(7)",PC,"CONTEMPT OF COURT REFUSE TO BE SW",M,60,141000
50109,"166 (A)(7)",PC,"CONTEMPT:PUBLISH FALSE/ETC COURT",M,60,141000
50185,"166 (A)(8)",PC,"CONTEMPT OF COURT PUBLISH FALSE/E",M,60,141000
50110,"166 (A)(8)",PC,"CONTEMPT OF COURT:ATTEMPT TO INF",M,60,141000
50186,"166 (A)(9)",PC,"CONTEMPT OF COURT ATTEMPT TO INF",M,60,141000
50174,"166 (A)(9)",PC,"CONTEMPT OF COURT: VIOLATE A GANG",M,60,141000
50166,"166 (B)(1)",PC,"CONTEMPT OF COURT WITH PRIOR CON",M,60,96410
50112,"166 (C)(1)",PC,"CONTEMPT OF COURT:VIOLATE PROTEC",M,60,96410
50125,"166 (C)(4)",PC,"VIOLATE PROTECTIVE ORDER:DOMESTIC",M,60,96410
50124,"166 (C)(4)",PC,"VIOLATE PROTECTIVE ORDER:DOMESTIC",F,25,48400
50151,"166 (D)(1)",PC,"VIOL PROTECTIVE ORDER:PROHIBIT POS",F,25,48400
50150,"166 (D)(1)",PC,"VIOL PROTECTIVE ORDER:PROHIBIT POS",M,60,96410
50014,"166.1",PC,"CONTEMPT OF COURT (AMENDED)",M,60,141000
50015,"166.2",PC,"CONTEMPT IN PRESENCE OF REFEREE (A",M,60,141000
50016,"166.3",PC,"CONTEMPT OF COURT:BREACH OF PEAC",M,60,141000
50017,"166.4",PC,"CONTEMPT OF COURT:DISOBEY COURT",M,60,141000
50018,"166.5",PC,"CONTEMPT OF COURT:RESIST COURT O",M,60,141000
50019,"166.6",PC,"CONTEMPT OF COURT:REFUSE TO BE SW",M,60,141000
50020,"166.7",PC,"CONTEMPT OF COURT:PUBLISH FALSE C",M,60,141000
50021,"166.8",PC,"CONTEMPT OF COURT:TRY TO INFLUEN",M,60,141000
50022,"167",PC,"RECORD JURY DELIBERATION",M,60,142800
50023,"168",PC,"REVEAL INFORMATION BEFORE ARREST",M,60,142900
50094,"168 (A)",PC,"DISCLOSE WARRANT INFORMATION PRI",F,25,72500
50024,"169",PC,"PICKET COURTHOUSE TO IMPEDE JUSTIC",M,60,143000
57004,"170",PC,"OBTAIN SEARCH/ARREST WARRANT W/",M,60,143200
48017,"171",PC,"COMMUNICATE WITH REFORMATORY I",M,60,143300
58004,"171 A",PC,"BRING CONTRABAND IN REFORMATORY",F,25,68200
32004,"171 B",PC,"FELON ENTER REFORMATORY/NIGHT (R",M,60,145300
52144,"171 B",PC,"BRING/POSSESS WEAPON IN COURT/ET",F,19,64300
52216,"171 B(A)",PC,"POSSESS/ETC FIREARM IN COURT/ETC (A",F,19,64300
52245,"171 B(A)(1)",PC,"POSSESS/ETC FIREARM IN PUBLIC BUILD",F,19,64300
52649,"171 B(A)(2)",PC,"POSSESS OR BRING DEADLY WEAPON IN",M,50,100600
52227,"171 B(A)(2)",PC,"POSSESS/ETC DEADLY WEAPON IN PUBL",F,19,64300
52246,"171 B(A)(3)",PC,"POSSESS/ETC KNIFE IN PUBLIC BUILDING",F,19,64300
52312,"171 B(A)(4)",PC,"POSS/ETC UNAUTHORIZED TEAR GAS IN",M,50,100600
52311,"171 B(A)(4)",PC,"POSS/ETC UNAUTHORIZED TEAR GAS IN",F,19,64300
52304,"171 B(A)(5)",PC,"POSSESS/ETC TASER/STUN GUN IN PUB",F,19,64300
52305,"171 B(A)(5)",PC,"POSSESS/ETC TASER/STUN GUN IN PUB",M,50,100600
52419,"171 B(A)(6)",PC,"POSS/ETC BB/PELLET GUN IN PUBLIC BU",M,50,100600
52418,"171 B(A)(6)",PC,"POSS/ETC BB/PELLET GUN IN PUBLIC BU",F,19,64300
52220,"171 B(B)",PC,"POSSESS/ETC DEADLY WEAPON IN COU",F,19,64300
52217,"171 B(C)",PC,"POSSESS/ETC KNIFE IN COURT/ETC (AM",F,19,64300
52149,"171 C",PC,"LOADED FIREARM IN STATE CAPITOL/ET",F,19,64000
53009,"171 C.1",PC,"LOADED FIREARM IN STATE CAPITOL/ET",F,19,64000
33005,"171 C.2",PC,"HAVE LOADED GUN AT SCHOOL (AMEND",F,19,64200
52150,"171 D",PC,"LOADED GUN IN STATE OFFICER'S RESID",F,19,64100
52384,"171 D(A)",PC,"LOADED GUN IN STATE OFFICERS RESID",M,50,91540
52383,"171 D(A)",PC,"LOADED GUN IN STATE OFFICERS RESID",F,19,64100
52385,"171 D(B)",PC,"LOADED GUN:STATE OFFICERS RESIDEN",F,19,64100
52386,"171 D(B)",PC,"LOADED GUN ON STATE OFFICERS RESID",M,50,91540
53063,"171 D.1",PC,"LOADED GUN IN STATE OFFICER'S RESID",F,19,64100
52145,"171 D.1",PC,"LOADED GUN IN STATE OFFICER'S RESID",F,19,64100
53064,"171 D.2",PC,"LOADED GUN ON STATE OFFICER'S RESI",F,19,64100
52146,"171 D.2",PC,"LOADED GUN ON STATE OFFICER'S RESI",F,19,64100
53011,"171 F",PC,"UNAUTHORIZED CONDUCT/ETC IN STAT",M,46,128800
53012,"171 F.1",PC,"REMAIN IN LEGISLATIVE CHAMBER",M,49,134300
53013,"171 F.2",PC,"DISRUPT STATE CAPITOL BUSINESS",M,46,128800
53014,"171 F.3",PC,"PICKET WITHIN STATE CAPITOL (REPEAL",M,46,128800
52349,"171.5 (C)(1)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,120400
52358,"171.5 (C)(10)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,122000
52359,"171.5 (C)(11)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,121800
52360,"171.5 (C)(12)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,119910
52350,"171.5 (C)(2)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,120600
52351,"171.5 (C)(3)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,120600
52352,"171.5 (C)(4)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,146000
52353,"171.5 (C)(5)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,146100
52354,"171.5 (C)(6)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,146000
52355,"171.5 (C)(7)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,146100
52356,"171.5 (C)(8)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,121800
52357,"171.5 (C)(9)",PC,"UNLAWFUL POSSESS IN AIRPORT/STERIL",M,50,146000
41004,"172 A",PC,"SELL LIQUOR NEAR UNIVERSITY",M,44,138900
41005,"172 B.1",PC,"SELL LIQUOR NEAR UCLA",M,44,82800
41053,"172 D",PC,"SELL LIQUOR NEAR UC RIVERSIDE",M,44,82900
41006,"172 D.1",PC,"SELL LIQUOR NEAR UC RIVERSIDE",M,44,82900
41054,"172 G",PC,"SELL LIQUOR NEAR CERTAIN COLLEGES/",M,44,82750
41007,"172 G.1",PC,"SELL LIQUOR NEAR CERTAIN COLLEGES/",M,44,82750
